,,,,,,,,,,,,,,,,,
Main Stat,,,,Determination,,,Direct Hit,,,Critical Hit,,,,Skill Speed,,,
Value,f(AP),Tanks,,Value,Multiplier,,Value,Chance,,Value,Chance,Dmg,,Value,DoT Multi,GCD (2.5),GCD(2.8)
,,,,,,,,,,,,,,,,,
390,1,,,390,1,,400,0.0%,,400,5.0%,40.0%,,400,1,2.5,2.8
392,1.01,,,404,1.001,,404,0.1%,,410,5.1%,40.1%,,415,1.001,2.49,2.79
394,1.02,,,418,1.002,,407,0.2%,,419,5.2%,40.2%,,430,1.002,2.49,2.79
396,1.03,,,431,1.003,,411,0.3%,,429,5.3%,40.3%,,444,1.003,2.49,2.79
398,1.04,,,445,1.004,,414,0.4%,,438,5.4%,40.4%,,459,1.004,2.49,2.78
400,1.05,,,458,1.005,,418,0.5%,,448,5.5%,40.5%,,474,1.005,2.48,2.78
402,1.06,,,472,1.006,,421,0.6%,,457,5.6%,40.6%,,488,1.006,2.48,2.78
404,1.07,,,485,1.007,,425,0.7%,,467,5.7%,40.7%,,503,1.007,2.48,2.78
406,1.08,,,499,1.008,,428,0.8%,,476,5.8%,40.8%,,517,1.008,2.48,2.77
408,1.09,,,513,1.009,,432,0.9%,,486,5.9%,40.9%,,532,1.009,2.47,2.77
410,1.1,,,526,1.01,,435,1.0%,,495,6.0%,41.0%,,547,1.01,2.47,2.77
412,1.11,,,540,1.011,,438,1.1%,,505,6.1%,41.1%,,561,1.011,2.47,2.76
414,1.12,,,553,1.012,,442,1.2%,,514,6.2%,41.2%,,576,1.012,2.47,2.76
416,1.13,,,567,1.013,,445,1.3%,,524,6.3%,41.3%,,590,1.013,2.46,2.76
418,1.14,,,580,1.014,,449,1.4%,,533,6.4%,41.4%,,605,1.014,2.46,2.76
420,1.15,,,594,1.015,,452,1.5%,,543,6.5%,41.5%,,620,1.015,2.46,2.75
422,1.16,,,608,1.016,,456,1.6%,,552,6.6%,41.6%,,634,1.016,2.46,2.75
424,1.17,,,621,1.017,,459,1.7%,,562,6.7%,41.7%,,649,1.017,2.45,2.75
426,1.18,,,635,1.018,,463,1.8%,,571,6.8%,41.8%,,664,1.018,2.45,2.74
428,1.19,,,648,1.019,,466,1.9%,,581,6.9%,41.9%,,678,1.019,2.45,2.74
430,1.2,,,662,1.02,,470,2.0%,,590,7.0%,42.0%,,693,1.02,2.45,2.74
432,1.21,,,675,1.021,,473,2.1%,,600,7.1%,42.1%,,707,1.021,2.44,2.74
434,1.22,,,689,1.022,,476,2.2%,,609,7.2%,42.2%,,722,1.022,2.44,2.73
436,1.23,,,703,1.023,,480,2.3%,,619,7.3%,42.3%,,737,1.023,2.44,2.73
438,1.24,,,716,1.024,,483,2.4%,,628,7.4%,42.4%,,751,1.024,2.44,2.73
440,1.25,,,730,1.025,,487,2.5%,,638,7.5%,42.5%,,766,1.025,2.43,2.73
442,1.26,,,743,1.026,,490,2.6%,,647,7.6%,42.6%,,780,1.026,2.43,2.72
444,1.27,,,757,1.027,,494,2.7%,,657,7.7%,42.7%,,795,1.027,2.43,2.72
446,1.28,,,770,1.028,,497,2.8%,,666,7.8%,42.8%,,810,1.028,2.43,2.72
448,1.29,,,784,1.029,,501,2.9%,,676,7.9%,42.9%,,824,1.029,2.42,2.71
450,1.3,,,798,1.03,,504,3.0%,,685,8.0%,43.0%,,839,1.03,2.42,2.71
452,1.31,,,811,1.031,,508,3.1%,,695,8.1%,43.1%,,854,1.031,2.42,2.71
454,1.32,,,825,1.032,,511,3.2%,,704,8.2%,43.2%,,868,1.032,2.42,2.71
456,1.33,,,838,1.033,,514,3.3%,,714,8.3%,43.3%,,883,1.033,2.41,2.7
458,1.34,,,852,1.034,,518,3.4%,,723,8.4%,43.4%,,897,1.034,2.41,2.7
